year,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2002,NA,151.74,51163185.68,50804,3818271.439,1638,1560389.685,15823,11251,0.427,22983,215680,NA,47454903.17,5044496.613,NA
2003,NA,269.3,541118563.8,56050,9264205.289,2610,662965.6706,18608,11272,0.289,31362,236346,NA,84847027.18,2643351.984,NA
2004,0.59,299.86,69607994.22,47060,3905278.081,1361,688121.2106,14770,12044,0.35,38741,200642,NA,47617743.21,3354670.206,0.36
2005,0.64,147.44,52273761.87,40029,4724580.245,1754,501246.3591,15233,12286,0.657,30531,192069,NA,59573809.68,3532666.517,0.29
2006,0.58,190.78,155957146.4,22295,3371730.663,2191,700307.3464,15003,12534,0.694,31549,153561,NA,44916078.89,5965533.434,0.43
2007,0.79,611.94,124596014.5,18723,3933821.37,4658,841703.0846,15238,12675,0.342,20959,107023,NA,41528081.48,2481016.944,0.35
2008,0.8,76.13,46963535.78,27785,2960343.81,4814,790005.3941,15192,12739,0.164,18156,140842,NA,32832183.74,2306736.858,0.97
2009,0.74,126.18,107225033.6,37540,1202383.473,4754,785948.8076,14786,13446,0.098,28468,185814,NA,88231724.25,3480111.64,0.71
2010,0.86,82.6,100498569.5,51228,2135694.9,3903,706073.8708,14576,15427,0.195,24230,212085,NA,70027947.64,8185764.594,0.65
2011,0.83,49.29,22884114.43,38269,1671329.095,3572,529600.2936,15329,21102,0.233,32944,244223,NA,28948715.46,5595406.591,0.45
2012,0.99,36.64,24258847.89,36458,2363161.157,3081,546639.1746,15886,31553,0.152,26781,189704,NA,37325961.51,3071127.342,0.9
2013,1.23,22.63,80655429.66,32018,1911936.156,2932,387762.5199,17526,42367,0.188,26724,174564,NA,63013801.68,3634346.19,0.97
2014,1.11,398.12,149660876.4,23088,4770207.966,4148,422856.6117,16545,47320,0.326,19403,143286,NA,63775466.44,2426869.089,1.67
2015,1.56,449.65,38012873.65,29555,1849380.49,3759,96406.25385,14485,48308,0.445,27301,181911,NA,28307150.27,1811363.801,1.31
2016,1.34,116.68,12593670.69,30794,2072063.18,1135,51731.54349,14005,50254,0.521,37083,172551,NA,43478604.56,2255412.276,1.47
2017,1.12,160.89,5911936.772,31669,3023203.821,436,435709.4878,12066,49390,0.134,26362,141879,47542,71623551.07,6462325.553,1.48
2018,1.31,174.55,4346753.425,32981,432731.8705,189,142016.7658,11858,43844,0.113,24010,134769,24808,66803153.36,5455075.794,1.75
2019,1.28,482.9,10679858.48,25899,1220429.575,81,378811.4947,11109,37648,0.201,20970,132569,10107,37109089.78,18039948.51,1.76
2020,1.31,331.55,36923329.77,22914,828146.0643,103,410075.1358,11013,33796,NA,21438,119788,13792,50782496.83,17160092.93,1.6
2021,NA,238.12,75441252.71,38457,1704043.231,103,639881.5629,12421,31442,NA,NA,112767,22714,120339453.7,9520096.713,NA
